Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text
zombieBusinessManFeral,entityclasses,EntityClass,,,Business the Violet (Bold),
zombieBusinessManRadiated,entityclasses,EntityClass,,,Business the Violet (Glow),
zombieBusinessManCharged,entityclasses,EntityClass,,,Business the Violet (Bright),
zombieBusinessManInfernal,entityclasses,EntityClass,,,Business the Violet (Dark),
zombieBurnt,entityclasses,EntityClass,,,Burnt the Gray,
zombieBurntFeral,entityclasses,EntityClass,,,Burnt the Gray (Bold),
zombieBurntRadiated,entityclasses,EntityClass,,,Burnt the Gray (Glow),
zombieBurntCharged,entityclasses,EntityClass,,,Burnt the Gray (Bright),
zombieBurntInfernal,entityclasses,EntityClass,,,Burnt the Gray (Dark),
zombieRancher,entityclasses,EntityClass,,,Rancher the Beige,
zombieRancherFeral,entityclasses,EntityClass,,,Rancher the Beige (Bold),
zombieRancherRadiated,entityclasses,EntityClass,,,Rancher the Beige (Glow),
zombieRancherCharged,entityclasses,EntityClass,,,Rancher the Beige (Bright),
zombieRancherInfernal,entityclasses,EntityClass,,,Rancher the Beige (Dark),
zombiePlagueSpitter,entityclasses,EntityClass,,,Toxic the Green,
zombiePlagueSpitterFeral,entityclasses,EntityClass,,,Toxic the Green (Bold),
zombiePlagueSpitterRadiated,entityclasses,EntityClass,,,Toxic the Green (Glow),
zombiePlagueSpitterCharged,entityclasses,EntityClass,,,Toxic the Green (Bright),
zombiePlagueSpitterInfernal,entityclasses,EntityClass,,,Toxic the Green (Dark),
zombieChuck,entityclasses,EntityClass,,,Chuck the Teal,
zombieChuckFeral,entityclasses,EntityClass,,,Chuck the Teal (Bold),
zombieChuckRadiated,entityclasses,EntityClass,,,Chuck the Teal (Glow),
zombieChuckCharged,entityclasses,EntityClass,,,Chuck the Teal (Bright),
zombieChuckInfernal,entityclasses,EntityClass,,,Chuck the Teal (Dark),
zombieFrostclaw,entityclasses,EntityClass,,,Frost the Ice,
zombieFrostclawFeral,entityclasses,EntityClass,,,Frost the Ice (Bold),
zombieFrostclawRadiated,entityclasses,EntityClass,,,Frost the Ice (Glow),
zombieFrostclawCharged,entityclasses,EntityClass,,,Frost the Ice (Bright),
zombieFrostclawInfernal,entityclasses,EntityClass,,,Frost the Ice (Dark),
zombieSpider,entityclasses,EntityClass,,,Spider the Black,
zombieSpiderFeral,entityclasses,EntityClass,,,Spider the Black (Bold),
zombieSpiderRadiated,entityclasses,EntityClass,,,Spider the Black (Glow),
zombieSpiderCharged,entityclasses,EntityClass,,,Spider the Black (Bright),
zombieSpiderInfernal,entityclasses,EntityClass,,,Spider the Black (Dark),
zombieBoe,entityclasses,EntityClass,,,Boe the Green,
zombieBoeFeral,entityclasses,EntityClass,,,Boe the Green (Bold),
zombieBoeRadiated,entityclasses,EntityClass,,,Boe the Green (Glow),
zombieBoeCharged,entityclasses,EntityClass,,,Boe the Green (Bright),
zombieBoeInfernal,entityclasses,EntityClass,,,Boe the Green (Dark),
zombieMaleHazmat,entityclasses,EntityClass,,,Hazmat the Neon,
zombieMaleHazmatFeral,entityclasses,EntityClass,,,Hazmat the Neon (Bold),
zombieMaleHazmatRadiated,entityclasses,EntityClass,,,Hazmat the Neon (Glow),
zombieMaleHazmatCharged,entityclasses,EntityClass,,,Hazmat the Neon (Bright),
zombieMaleHazmatInfernal,entityclasses,EntityClass,,,Hazmat the Neon (Dark),
zombieJanitor,entityclasses,EntityClass,,,Janitor the Olive,
zombieJanitorFeral,entityclasses,EntityClass,,,Janitor the Olive (Bold),
zombieJanitorRadiated,entityclasses,EntityClass,,,Janitor the Olive (Glow),
zombieJanitorCharged,entityclasses,EntityClass,,,Janitor the Olive (Bright),
zombieJanitorInfernal,entityclasses,EntityClass,,,Janitor the Olive (Dark),
zombieInmate,entityclasses,EntityClass,,,Inmate the Tangerine,
zombieInmateFeral,entityclasses,EntityClass,,,Inmate the Tangerine (Bold),
zombieInmateRadiated,entityclasses,EntityClass,,,Inmate the Tangerine (Glow),
zombieInmateCharged,entityclasses,EntityClass,,,Inmate the Tangerine (Bright),
zombieInmateInfernal,entityclasses,EntityClass,,,Inmate the Tangerine (Dark),
zombieDarlene,entityclasses,EntityClass,,,Darlene the Rose,
zombieDarleneFeral,entityclasses,EntityClass,,,Darlene the Rose (Bold),
zombieDarleneRadiated,entityclasses,EntityClass,,,Darlene the Rose (Glow),
zombieDarleneCharged,entityclasses,EntityClass,,,Darlene the Rose (Bright),
zombieDarleneInfernal,entityclasses,EntityClass,,,Darlene the Rose (Dark),
zombieYo,entityclasses,EntityClass,,,Yo the Coral,
zombieYoFeral,entityclasses,EntityClass,,,Yo the Coral (Bold),
zombieYoRadiated,entityclasses,EntityClass,,,Yo the Coral (Glow),
zombieYoCharged,entityclasses,EntityClass,,,Yo the Coral (Bright),
zombieYoInfernal,entityclasses,EntityClass,,,Yo the Coral (Dark),
zombieUtilityWorker,entityclasses,EntityClass,,,Utility the Amber,
zombieUtilityWorkerFeral,entityclasses,EntityClass,,,Utility the Amber (Bold),
zombieUtilityWorkerRadiated,entityclasses,EntityClass,,,Utility the Amber (Glow),
zombieUtilityWorkerCharged,entityclasses,EntityClass,,,Utility the Amber (Bright),
zombieUtilityWorkerInfernal,entityclasses,EntityClass,,,Utility the Amber (Dark),
zombieSkateboarder,entityclasses,EntityClass,,,Skater the Cyan,
zombieSkateboarderFeral,entityclasses,EntityClass,,,Skater the Cyan (Bold),
zombieSkateboarderRadiated,entityclasses,EntityClass,,,Skater the Cyan (Glow),
zombieSkateboarderCharged,entityclasses,EntityClass,,,Skater the Cyan (Bright),
zombieSkateboarderInfernal,entityclasses,EntityClass,,,Skater the Cyan (Dark),
zombieMutated,entityclasses,EntityClass,,,Mutated the Lime,
zombieMutatedFeral,entityclasses,EntityClass,,,Mutated the Lime (Bold),
zombieMutatedRadiated,entityclasses,EntityClass,,,Mutated the Lime (Glow),
zombieMutatedCharged,entityclasses,EntityClass,,,Mutated the Lime (Bright),
zombieMutatedInfernal,entityclasses,EntityClass,,,Mutated the Lime (Dark),
zombieMoe,entityclasses,EntityClass,,,Moe the Maroon,
zombieMoeFeral,entityclasses,EntityClass,,,Moe the Maroon (Bold),
zombieMoeRadiated,entityclasses,EntityClass,,,Moe the Maroon (Glow),
zombieMoeInfernal,entityclasses,EntityClass,,,Moe the Maroon (Dark),
zombieLab,entityclasses,EntityClass,,,Lab the White,
zombieLabFeral,entityclasses,EntityClass,,,Lab the White (Bold),
zombieLabRadiated,entityclasses,EntityClass,,,Lab the White (Glow),
zombieLabCharged,entityclasses,EntityClass,,,Lab the White (Bright),
zombieBiker,entityclasses,EntityClass,,,Biker the Red,
zombieBikerFeral,entityclasses,EntityClass,,,Biker the Red (Bold),
zombieBikerRadiated,entityclasses,EntityClass,,,Biker the Red (Glow),
zombieBikerInfernal,entityclasses,EntityClass,,,Biker the Red (Dark),
zombieLumberjack,entityclasses,EntityClass,,,Lumberjack the Forest,
zombieLumberjackFeral,entityclasses,EntityClass,,,Lumberjack the Forest (Bold),
zombieLumberjackRadiated,entityclasses,EntityClass,,,Lumberjack the Forest (Glow),
zombieLumberjackInfernal,entityclasses,EntityClass,,,Lumberjack the Forest (Dark),
zombieFemaleFat,entityclasses,EntityClass,,,Lily the Lilac,
zombieFemaleFatFeral,entityclasses,EntityClass,,,Lily the Lilac (Bold),
zombieFemaleFatRadiated,entityclasses,EntityClass,,,Lily the Lilac (Glow),
zombieFemaleFatInfernal,entityclasses,EntityClass,,,Lily the Lilac (Dark),
zombieFatHawaiian,entityclasses,EntityClass,,,Hawaiian the Turquoise,
zombieFatHawaiianFeral,entityclasses,EntityClass,,,Hawaiian the Turquoise (Bold),
zombieFatHawaiianRadiated,entityclasses,EntityClass,,,Hawaiian the Turquoise (Glow),
zombieFatHawaiianInfernal,entityclasses,EntityClass,,,Hawaiian the Turquoise (Dark),
zombieBowler,entityclasses,EntityClass,,,Bowler the Orange,
zombieBowlerFeral,entityclasses,EntityClass,,,Bowler the Orange (Bold),
zombieBowlerRadiated,entityclasses,EntityClass,,,Bowler the Orange (Glow),
zombieBowlerInfernal,entityclasses,EntityClass,,,Bowler the Orange (Dark),
zombieFatCop,entityclasses,EntityClass,,,Cop the Navy,
zombieFatCopFeral,entityclasses,EntityClass,,,Cop the Navy (Bold),
zombieFatCopRadiated,entityclasses,EntityClass,,,Cop the Navy (Glow),
zombieFatCopInfernal,entityclasses,EntityClass,,,Cop the Navy (Dark),
zombieSoldier,entityclasses,EntityClass,,,Soldier the Khaki,
zombieSoldierFeral,entityclasses,EntityClass,,,Soldier the Khaki (Bold),
zombieSoldierRadiated,entityclasses,EntityClass,,,Soldier the Khaki (Glow),
zombieSoldierInfernal,entityclasses,EntityClass,,,Soldier the Khaki (Dark),
zombieScreamer,entityclasses,EntityClass,,,Silver,
zombieScreamerFeral,entityclasses,EntityClass,,,Silver (Bold),
zombieScreamerRadiated,entityclasses,EntityClass,,,Silver (Glow),
zombieScreamerCharged,entityclasses,EntityClass,,,Silver (Bright),
zombieWightFeral,entityclasses,EntityClass,,,Wight the Indigo (Bold),
zombieWightRadiated,entityclasses,EntityClass,,,Wight the Indigo (Glow),
zombieWightCharged,entityclasses,EntityClass,,,Wight the Indigo (Bright),
zombieWightInfernal,entityclasses,EntityClass,,,Wight the Indigo (Dark),
zombieDemolition,entityclasses,EntityClass,,,Demo the Yellow,
zombieSteveCrawler,entityclasses,EntityClass,,,Crawler the Bronze,
zombieSteveCrawlerFeral,entityclasses,EntityClass,,,Crawler the Bronze (Bold),
